ISO_3_CODE,COUNTRYNAME,WHO_REGION,YEAR,VACCINECODE,VACCINE_DESCRIPTION,SCHEDULEROUNDS,TARGETPOP,TARGETPOP_DESCRIPTION,GEOAREA,AGEADMINISTERED,SOURCECOMMENT
ABW,Aruba,AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y11,females only; grade 6 primary schools
ABW,Aruba,AMRO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2,FEMALE,HPV for females only,NATIONAL,+M6,females only; grade 6 primary schools
ABW,Aruba,AMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,PW,Pregnant women,NATIONAL,1st contact,Pregnant women
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,1st contact,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,+M1,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,+M6,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,ADULTS,Adults,NATIONAL,+Y1,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,ADULTS,Adults,NATIONAL,+Y1,Y15-Y49 (WCBA)
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,1st contact grossesse
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+M1,1st contact grossesse
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,PW,Pregnant women,NATIONAL,+M6,1st contact grossesse
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,PW,Pregnant women,NATIONAL,+Y1,1st contact grossesse
AGO,Angola,AFRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,PW,Pregnant women,NATIONAL,+Y1,1st contact grossesse
AGO,Angola,AFRO,2023,TT,TT (Tetanus toxoid) vaccine,1,ADULTS,Adults,NATIONAL,Y15-Y49,15-49 A
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,1,ADULTS,Adults,NATIONAL,1st contact,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,2,ADULTS,Adults,NATIONAL,+M1,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,3,ADULTS,Adults,NATIONAL,+M6,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6,B_ADO_W,General/routine,NATIONAL,Y15,15 yrs
AIA,Anguilla,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,pregnant women
AIA,Anguilla,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,PW,Pregnant women,NATIONAL,+W4,pregnant women
AIA,Anguilla,AMRO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,PW,Pregnant women,NATIONAL,+M6-Y1,pregnant women
ALB,Albania,EURO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y13,Female from November 2022
ALB,Albania,EURO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>Y18,and older persons
AND,Andorra,EURO,2023,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y12,Females; A partir del 15 de noviembre del 2023 se incluyen en la vacunación los niños tambien
AND,Andorra,EURO,2023,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,2,FEMALE,HPV for females only,NATIONAL,+M6,Females; A partir del 15 de noviembre del 2023 se incluyen en la vacunación los niños tambien
AND,Andorra,EURO,2023,MPOX,Mpox (monkeypox) vaccine,1,PW,Pregnant women,NATIONAL,1st contact,"HCW, contacts of a positive case with priority given to the less than 18 years, Pregnant women and persons immunocpmpromised"
ARE,United Arab Emirates,EMRO,2023,HPV9,HPV-9 (Human Papilloma Virus 9-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y13,school students
ARE,United Arab Emirates,EMRO,2023,HPV9,HPV-9 (Human Papilloma Virus 9-valent) vaccine,2,FEMALE,HPV for females only,NATIONAL,+M6,school students
ARE,United Arab Emirates,EMRO,2023,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1,ADULTS,Adults,NATIONAL,>Y18,and older persons
ARE,United Arab Emirates,EMRO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",6,B_ADO_W,General/routine,NATIONAL,Y15-Y16,school students
ARE,United Arab Emirates,EMRO,2023,ZOSTER,Shingles (Herpes zoster for older adults) vaccine,1,ADULTS,Adults,NATIONAL,>=Y50,people 50 years old and above
ARE,United Arab Emirates,EMRO,2023,ZOSTER,Shingles (Herpes zoster for older adults) vaccine,2,ADULTS,Adults,NATIONAL,+M6,people 50 years old and above
ARG,Argentina,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,1,ADULTS,Adults,NATIONAL,1st contact,Universal
ARG,Argentina,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,2,ADULTS,Adults,NATIONAL,+M1,Universal
ARG,Argentina,AMRO,2023,HEPB_ADULT,Adult Hepatitis B vaccine,3,ADULTS,Adults,NATIONAL,+M6,Universal
ARG,Argentina,AMRO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1,PW,Pregnant women,NATIONAL,1st contact,"Embarazadas a partir de la semana 20 (en cada embarazo), convivientes de RN con menos de 1500g y personal de salud que presta cuidado a niños menores de 12 meses (revacunar cada 5 años)."
ARM,Armenia,EURO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1,FEMALE,HPV for females only,NATIONAL,Y14,?????? ????????  ? ???????? 14 ???- ??? ???? (?????? ???? ????? 6 ??????? ????? ??????)
ARM,Armenia,EURO,2023,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2,FEMALE,HPV for females only,NATIONAL,+M6,?????? ????????  ? ???????? 14 ???- ??? ???? (?????? ???? ????? 6 ??????? ????? ??????)
ARM,Armenia,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1,ADULTS,Adults,NATIONAL,Y26-Y30,??????? ? ??????? ?? 26 ??? ????? ?????? 10 ???
ARM,Armenia,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2,ADULTS,Adults,NATIONAL,Y36-Y40,??????? ? ??????? ?? 26 ??? ????? ?????? 10 ???
ARM,Armenia,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3,ADULTS,Adults,NATIONAL,Y46-Y50,??????? ? ??????? ?? 26 ??? ????? ?????? 10 ???
ARM,Armenia,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4,ADULTS,Adults,NATIONAL,Y56-Y60,??????? ? ??????? ?? 26 ??? ????? ?????? 10 ???
ARM,Armenia,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5,ADULTS,Adults,NATIONAL,Y66-Y70,??????? ? ??????? ?? 26 ??? ????? ?????? 10 ???
ARM,Armenia,EURO,2023,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6,ADULTS,Adults,NATIONAL,Y76-Y80,??????? ? ??????? ?? 26 ??? ????? ?????? 10 ???
ARM,Armenia,EURO,2023,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",6,B_ADO_W,General/routine,NATIONAL,Y15-Y16,"????? ? 15 ??? ?? 25 ???, ? 26 ??? ???????? ?????? ???-?"
